# Generator: SplatKing 1.0.7 (build 26)
# Generated: 2026-06-27T17:25:43Z
# World frame: right-handed, gravity-aligned, +Y up
# Pose convention: COLMAP world-to-camera (X_cam = R * X_world + t)
# Camera-local axes: +X right, +Y down, +Z forward
# Applied basis change: M = diag(1, -1, -1) (ARKit camera → COLMAP camera; 180° about +X)
# Units: meters (translations, points3D); pixels (intrinsics)
# points3D.txt sentinels: ERROR = -1, TRACK[] empty by design (no bundle adjustment, no 2D-3D correspondences)
#
# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 71
1 0.582291117 -0.714105746 0.382016817 0.071085797 -0.246986358 -0.229611001 -0.041087529 1 wide_20260627_192430_409.jpg

2 0.612614071 -0.698268932 0.348705976 0.124613963 -0.233228880 -0.185032218 -0.060302079 1 wide_20260627_192431_410.jpg

3 0.651716294 -0.668978779 0.288788540 0.210557462 -0.220444711 -0.121141013 -0.078997654 1 wide_20260627_192432_411.jpg

4 0.676186310 -0.645229399 0.229370599 0.271735581 -0.196103735 -0.058299721 -0.094177373 1 wide_20260627_192433_410.jpg

5 0.709091772 -0.591944812 0.136286890 0.358072733 -0.193127779 0.017981892 -0.102236564 1 wide_20260627_192434_410.jpg

6 0.721121991 -0.544130807 0.025768685 0.428066250 -0.167689725 0.080608647 -0.137031074 1 wide_20260627_192435_410.jpg

7 0.712239122 -0.451050952 -0.091678847 0.529965528 -0.233853749 0.171088896 -0.100065742 1 wide_20260627_192436_410.jpg

8 0.709189596 -0.386706702 -0.152208267 0.569509164 -0.279488289 0.198577224 -0.051684297 1 wide_20260627_192437_410.jpg

9 0.670971105 -0.287463799 -0.270014595 0.627896853 -0.325475851 0.254242679 -0.007293743 1 wide_20260627_192438_409.jpg

